Travel_Route,Year,Year_text,Visitors_on_Holiday,Visitors_on_Business,Visitors_in_Transit,Other_Visitors,Quater,Results_Status,OBJECTID
Departures,06/30/2007 12:00:00 AM,2007,270200,49100,20800,32600,Q2,Actual,165
Departures,06/30/2008 12:00:00 AM,2008,193400,19900,14100,21600,Q2,Actual,166
Departures,06/30/2009 12:00:00 AM,2009*,217500,44400,17200,23300,Q2,Preliminary ,167
Departures,09/30/1991 12:00:00 AM,1991,156200,17800,11700,2200,Q3,Actual,168
Departures,09/30/1992 12:00:00 AM,1992,152400,22800,13000,2400,Q3,Actual,169
Departures,09/30/1993 12:00:00 AM,1993,140100,21000,11900,2200,Q3,Actual,170
Departures,09/30/1994 12:00:00 AM,1994,173300,26000,14700,2700,Q3,Actual,171
Departures,09/30/1995 12:00:00 AM,1995*,138900,20500,15000,2200,Q3,Preliminary ,172
Departures,03/31/2010 12:00:00 AM,2010,265600,40000,25500,42300,Q1,Actual,173
Departures,09/30/1995 12:00:00 AM,1995,194700,24600,15400,5300,Q3,Actual,174
Departures,06/30/2010 12:00:00 AM,2010,220200,45300,17600,24500,Q2,Actual,175
Departures,09/30/1996 12:00:00 AM,1996,196400,24800,15300,5300,Q3,Actual,176
Departures,09/30/2010 12:00:00 AM,2010,290300,41600,34600,45900,Q3,Actual,177
Departures,09/30/1997 12:00:00 AM,1997,195300,24600,20000,5300,Q3,Actual,178
Departures,12/31/2010 12:00:00 AM,2010,309000,46200,24500,29200,Q4,Actual,179
Departures,09/30/1998 12:00:00 AM,1998,166700,21000,24000,4500,Q3,Actual,180
Departures,03/31/2011 12:00:00 AM,2011,277600,56900,20400,36600,Q1,Actual,181
Departures,09/30/1999 12:00:00 AM,1999*,203000,25000,29400,6600,Q3,Preliminary ,182
Departures,06/30/2011 12:00:00 AM,2011,204900,52400,17200,31900,Q2,Actual,183
Departures,09/30/2000 12:00:00 AM,2000,211100,26600,31700,5600,Q3,Actual,184
Departures,09/30/2011 12:00:00 AM,2011,322800,31400,12000,47100,Q3,Actual,185
Departures,09/30/2001 12:00:00 AM,2001,184700,23300,37700,5100,Q3,Actual,186
Departures,12/31/2011 12:00:00 AM,2011,314200,57500,12100,33400,Q4,Actual,187
Departures,09/30/2002 12:00:00 AM,2002,194100,20400,37400,4400,Q3,Actual,188
Departures,03/31/2012 12:00:00 AM,2012,281700,54100,25200,29200,Q1,Actual,189
Departures,09/30/2003 12:00:00 AM,2003,183900,53400,62100,11600,Q3,Actual,190
Departures,06/30/2012 12:00:00 AM,2012,216000,53700,18400,37000,Q2,Actual,191
Departures,09/30/2004 12:00:00 AM,2004*,239300,70800,46900,12800,Q3,Preliminary ,192
Departures,09/30/2012 12:00:00 AM,2012,297600,46000,23000,49900,Q3,Actual,193
